Wall time,Step,train_acc,train_loss,val_acc,val_loss
1554001594.38057,0,0.257607698440552,1.43271851539612,0.251708894968033,1.39001977443695
1554001615.42682,1,0.286532074213028,1.38379204273224,0.414153605699539,1.28706669807434
1554001636.93496,2,0.406447738409042,1.24090754985809,0.515480518341064,1.0521332025528
1554001658.18113,3,0.48629105091095,1.10520339012146,0.569360673427582,0.929492175579071
1554001679.74646,4,0.58049613237381,0.953335702419281,0.673100113868713,0.833721101284027
1554001700.69415,5,0.640956103801727,0.791647553443909,0.724567770957947,0.630391299724579
1554001722.02536,6,0.674500346183777,0.721197545528412,0.747889041900635,0.58697921037674
1554001743.43959,7,0.718891203403473,0.637692034244537,0.759951770305633,0.584082365036011
1554001764.63493,8,0.726423621177673,0.608648419380188,0.807800590991974,0.468266934156418
1554001786.03418,9,0.770312368869782,0.510581374168396,0.810213088989258,0.410154074430466
1554001807.45444,10,0.77995377779007,0.491012692451477,0.802573382854462,0.419173836708069
1554001828.72427,11,0.788390100002289,0.479420483112335,0.836349010467529,0.378248780965805
1554001850.08517,12,0.819323062896729,0.422757118940353,0.831523895263672,0.354841262102127
1554001871.51054,13,0.818017482757568,0.418131530284882,0.868114173412323,0.319625228643417
1554001892.89156,14,0.827960252761841,0.39580836892128,0.818254947662354,0.428400218486786
1554001914.19991,15,0.841719388961792,0.374402463436127,0.798150360584259,0.420307874679565
1554001935.6211,16,0.841819822788239,0.369393557310104,0.832328081130981,0.316371113061905
1554001957.0252,17,0.842020690441132,0.36874458193779,0.840369939804077,0.322149157524109
1554001978.53208,18,0.85949581861496,0.326764911413193,0.841174125671387,0.30509752035141
1554002000.17099,19,0.871949374675751,0.310717970132828,0.826698839664459,0.341740310192108
1554002021.30009,20,0.877473115921021,0.295019000768661,0.859268188476563,0.263611048460007
1554002042.74405,21,0.880285203456879,0.29391673207283,0.84519499540329,0.386160343885422
1554002064.03594,22,0.884603798389435,0.274394363164902,0.821069538593292,0.52598488330841
1554002085.42049,23,0.883699893951416,0.286858826875687,0.86328911781311,0.273218095302582
1554002106.79636,24,0.890529274940491,0.267919272184372,0.850824296474457,0.341022491455078
1554002128.14277,25,0.897157788276672,0.250116109848022,0.84439080953598,0.316529721021652
1554002149.48929,26,0.899869441986084,0.249672010540962,0.865299582481384,0.309543371200561
1554002170.85829,27,0.902581095695496,0.240636944770813,0.840772032737732,0.337090939283371
1554002192.14448,28,0.903284132480621,0.241052895784378,0.783273041248322,0.484224021434784
1554002213.44865,29,0.906698822975159,0.225222617387772,0.833534359931946,0.499012172222138
